Data da Divulgação;Data das Entrevistas;Registro;Instituto / Contratante;Valor;Entrevistas;Metodologia
14/07/2026;09/07 a 13/07/2026;BR-09576/2026;IPC - INSTITUTO DE PESQUISA / IPC - INSTITUTO DE PESQUISA CATARINENSE LTDA;R$ 55.000,00;1050;Presencial
13/07/2026;10/07 a 12/07/2026;BR-07981/2026;NEXUS / NEXUS PESQUISA E INTELIGENCIA DE DADOS LTDA;R$ 164.888,89;2000;Telefônica
12/07/2026;07/07 a 11/07/2026;BR-05495/2026;VERITA / INSTITUTO VERITA LTDA;R$ 155.540,00;2020;Mista / Outra
12/07/2026;06/07 a 08/07/2026;BR-03084/2026;INSTITUTO VOX BRASIL OPINIAO E PESQUISAS LTDA / INSTITUTO VOX BRASIL OPINIAO E PESQUISAS LTDA;R$ 65.000,00;1200;Mista / Outra
12/07/2026;01/07 a 04/07/2026;BR-07563/2026;ECONOMETRICA PESQUISA / ECONOMETRICA PESQUISA LTDA;R$ 40.000,00;1598;Presencial
09/07/2026;07/07 a 08/07/2026;BR-02402/2026;REAL TIME BIG DATA / REAL TIME MIDIA LTDA;R$ 64.000,00;1600;Telefônica
09/07/2026;03/07 a 05/07/2026;BR-01626/2026;CONSULT PESQUISA / CONSULTORIA E PESQUISA TECNICA LTDA;R$ 40.000,00;1700;Mista / Outra
08/07/2026;06/07 a 07/07/2026;BR-04169/2026;REAL TIME BIG DATA / REAL TIME MIDIA LTDA;R$ 64.000,00;1600;Telefônica
08/07/2026;03/07 a 06/07/2026;BR-05628/2026;IDEIA / MEIO E MENSAGEM (BOAS IDEIAS, ESTRATEGIA E INTELIGENCIA DIGITAL. / BOAS IDEIAS INTELIGENCIA EM PESQUISA E ESTRATEGIA DIGITAL LTDA);R$ 27.600,00;1500;Telefônica
07/07/2026;03/07 a 06/07/2026;BR-05997/2026;100 CIDADES / 100% CIDADES PARTICIPACOES LTDA;R$ 128.000,00;1600;Mista / Outra
07/07/2026;01/07 a 04/07/2026;BR-01893/2026;OPINIAO PESQUISAS SOCIAIS / OPINIAO PESQUISAS SOCIAIS LTDA;R$ 45.000,00;2000;Presencial
05/07/2026;01/07 a 03/07/2026;BR-06481/2026;DATAFOLHA INSTITUTO DE PESQUISAS LTDA. / DATAFOLHA INSTITUTO DE PESQUISAS LTDA.;R$ 185.706,64;1608;Mista / Outra
02/07/2026;29/06 a 01/07/2026;BR-05371/2026;INSTITUTO PARANA DE PESQUISAS E ANALISE DE CONSUMIDOR LTDA / INSTITUTO PARANA DE PESQUISAS E ANALISE DE CONSUMIDOR LTDA;R$ 45.000,00;1600;Mista / Outra
02/07/2026;01/07 a 03/07/2026;BR-05620/2026;DMP PESQUISA E EVENTOS / DMP PESQUISA E EVENTOS LTDA;R$ 40.000,00;1200;Telefônica
01/07/2026;25/06 a 30/06/2026;BR-04582/2026;ATLASINTEL / ATLASINTEL TECNOLOGIA DE DADOS LTDA;R$ 75.000,00;5000;Mista / Outra
01/07/2026;29/06 a 30/06/2026;BR-07801/2026;REAL TIME BIG DATA / REAL TIME MIDIA LTDA;R$ 64.000,00;1600;Mista / Outra
29/06/2026;26/06 a 28/06/2026;BR-08521/2026;NEXUS / NEXUS PESQUISA E INTELIGENCIA DE DADOS LTDA;R$ 164.888,89;2000;Telefônica
28/06/2026;12/06 a 18/06/2026;BR-03840/2026;AMOSTRAGEM OPINIAO E MERCADO / INSTITUTO PIAUIENSE DE OPINIAO PUBLICA LTDA - EPP;R$ 70.000,00;1137;Mista / Outra
25/06/2026;21/06 a 24/06/2026;BR-05722/2026;PODERDATA / PODERDATA PESQUISA, JORNALISMO E COMUNICACAO LTDA;R$ 103.715,00;2400;Telefônica
10/06/2026;05/06 a 08/06/2026;BR-07661/2026;QUAEST / GENIAL (QUAEST PESQUISAS, CONSULTORIA E PROJETOS LTDA. / BANCO GENIAL S.A.);R$ 433.255,92;2004;Presencial
