2026/08/05 19:02:48 INFO  : audios_processados/Clip 10_20260715_235158: Copied (new)
2026/08/05 19:02:49 INFO  : audios_processados/Clip 10_20260719_153223: Copied (new)
2026/08/05 19:02:49 INFO  : audios_processados/Clip 10_20260718_095230: Copied (new)
2026/08/05 19:02:49 INFO  : audios_processados/Clip 10: Copied (new)
2026/08/05 19:02:49 INFO  : audios_processados/Clip 10_20260718_004251: Copied (new)
2026/08/05 19:02:49 INFO  : audios_processados/Clip 10_20260718_023959: Copied (new)
2026/08/05 19:02:49 INFO  : audios_processados/Clip 10_20260718_212638: Copied (new)
2026/08/05 19:02:49 INFO  : audios_processados/Clip 10_20260718_165949: Copied (new)
2026/08/05 19:02:50 INFO  : audios_processados/Clip 10_20260720_133540: Copied (new)
2026/08/05 19:02:51 INFO  : audios_processados/Clip 10_20260722_123319: Copied (new)
2026/08/05 19:02:51 INFO  : audios_processados/Clip 10_20260722_180347: Copied (new)
2026/08/05 19:02:51 INFO  : audios_processados/Clip 10_20260722_155026: Copied (new)
2026/08/05 19:02:51 INFO  : audios_processados/Clip 10_20260723_120150: Copied (new)
2026/08/05 19:02:51 INFO  : audios_processados/Clip 10_20260723_021606: Copied (new)
2026/08/05 19:02:51 INFO  : audios_processados/Clip 10_20260726_130601: Copied (new)
2026/08/05 19:02:51 INFO  : audios_processados/Clip 10_20260723_231303: Copied (new)
2026/08/05 19:02:52 INFO  : audios_processados/Clip 10_20260726_145149: Copied (new)
2026/08/05 19:02:53 INFO  : audios_processados/Clip 10_20260728_114350: Copied (new)
2026/08/05 19:02:53 INFO  : audios_processados/Clip 10_20260726_185036: Copied (new)
2026/08/05 19:02:53 INFO  : audios_processados/Clip 10_20260801_115624: Copied (new)
2026/08/05 19:02:53 INFO  : audios_processados/Clip 10_20260727_152132: Copied (new)
2026/08/05 19:02:53 INFO  : audios_processados/Clip 10_20260804_144821: Copied (new)
2026/08/05 19:02:53 INFO  : audios_processados/Clip 10_20260803_160124: Copied (new)
2026/08/05 19:02:53 INFO  : audios_processados/Clip 10_20260730_121656: Copied (new)
2026/08/05 19:02:54 INFO  : audios_processados/Clip 10_20260805_000914: Copied (new)
2026/08/05 19:02:54 INFO  : audios_processados/Clip 11_20260716_000206: Copied (new)
2026/08/05 19:02:54 INFO  : audios_processados/Clip 10_20260805_111044: Copied (new)
2026/08/05 19:02:55 INFO  : audios_processados/Clip 11: Copied (new)
2026/08/05 19:02:55 INFO  : audios_processados/Clip 11_20260718_004533: Copied (new)
2026/08/05 19:02:55 INFO  : audios_processados/Clip 11_20260718_024433: Copied (new)
2026/08/05 19:02:55 INFO  : audios_processados/Clip 11_20260718_095457: Copied (new)
2026/08/05 19:02:55 INFO  : audios_processados/Clip 11_20260718_170853: Copied (new)
2026/08/05 19:02:56 INFO  : audios_processados/Clip 11_20260718_220827: Copied (new)
2026/08/05 19:02:56 INFO  : audios_processados/Clip 11_20260720_133832: Copied (new)
2026/08/05 19:02:56 INFO  : audios_processados/Clip 11_20260719_153319: Copied (new)
2026/08/05 19:02:57 INFO  : audios_processados/Clip 11_20260722_161230: Copied (new)
2026/08/05 19:02:57 INFO  : audios_processados/Clip 11_20260723_023627: Copied (new)
2026/08/05 19:02:57 INFO  : audios_processados/Clip 11_20260722_123847: Copied (new)
2026/08/05 19:02:57 INFO  : audios_processados/Clip 11_20260722_180755: Copied (new)
