2026/08/05 22:27:44 INFO  : buscador/README.md: Copied (new)
2026/08/05 22:27:48 INFO  : sentinela/consulta_kimi_k3_3h.py.bak_pre_equilibrio_modelos_20260729: Copied (new)
2026/08/05 22:27:48 INFO  : sentinela/agregar_manifesto_diario.py: Copied (new)
2026/08/05 22:27:48 INFO  : sentinela/consulta_glm_sentinela.py: Copied (new)
2026/08/05 22:27:48 INFO  : sentinela/consulta_kimi_memoria_total.py.bak_pre_equilibrio_modelos_20260729: Copied (new)
2026/08/05 22:27:49 INFO  : sentinela/consulta_kimi_k3_3h.py.bak_pre_claude_kimi_decisor_20260725_0455: Copied (new)
2026/08/05 22:27:49 INFO  : sentinela/consulta_kimi_k3_3h.py: Copied (new)
2026/08/05 22:27:49 INFO  : sentinela/consulta_kimi_memoria_total.py.bak_pre_modelo_por_canal_20260728_kimi: Copied (new)
2026/08/05 22:27:50 INFO  : sentinela/deepseek_delegar.py: Copied (new)
2026/08/05 22:27:50 INFO  : sentinela/gpt_revisor.py: Copied (new)
2026/08/05 22:27:50 INFO  : sentinela/deepseek_revisor.py: Copied (new)
2026/08/05 22:27:50 INFO  : sentinela/consulta_kimi_memoria_total.py: Copied (new)
2026/08/05 22:27:51 INFO  : sentinela/loop_foreground.sh: Copied (new)
2026/08/05 22:27:51 INFO  : sentinela/relatorio_diario_revisores.py: Copied (new)
2026/08/05 22:27:51 INFO  : sentinela/sentinela_ciclo.py.POST_bug33_verificar_nome_20260725_1105: Copied (new)
2026/08/05 22:27:52 INFO  : sentinela/sentinela_ciclo.py.bak_pre_claude_bug32_20260725_1005: Copied (new)
2026/08/05 22:27:52 INFO  : sentinela/sentinela_ciclo.py.bak_pre_claude_bug30_20260725_0905: Copied (new)
2026/08/05 22:27:52 INFO  : sentinela/sentinela_ciclo.py.bak_pre_claude_zoneinfo_20260725_0130: Copied (new)
2026/08/05 22:27:52 INFO  : sentinela/sentinela_ciclo.py.bak_pre_claude_fontes_filtro_20260725_0450: Copied (new)
2026/08/05 22:27:53 INFO  : sentinela/sentinela_ciclo.py.bak_pre_kimi_glm_assinatura_20260725_1136: Copied (new)
2026/08/05 22:27:53 INFO  : sentinela/sentinela_ciclo.py.bak_pre_kimi_wp403_20260724_1007: Copied (new)
2026/08/05 22:27:53 INFO  : sentinela/sentinela_ciclo.py.bak_pre_kimi_factgate_20260726_1333: Copied (new)
2026/08/05 22:27:55 INFO  : buscador/indexador/indexar_local.py: Copied (new)
2026/08/05 22:27:55 INFO  : sentinela/sentinela_cron.sh: Copied (new)
2026/08/05 22:27:55 INFO  : sentinela/sentinela_ciclo.py: Copied (new)
2026/08/05 22:27:56 INFO  : buscador/indexador/schema.sql: Copied (new)
2026/08/05 22:27:57 INFO  : buscador/cli/busca: Copied (new)
2026/08/05 22:27:58 INFO  : buscador/logs/indexacao_20260717.log: Copied (new)
2026/08/05 22:27:59 INFO  : buscador/config/sistemas.yaml: Copied (new)
2026/08/05 22:28:34 INFO  : buscador/indice/busca.sqlite: Copied (new)
2026/08/05 22:28:36 INFO  : sentinela/lib/fact_check_gate.py: Copied (new)
2026/08/05 22:28:38 INFO  : sentinela/lib/web_search_client.py: Copied (new)
2026/08/05 22:28:40 INFO  :   131.187 MiB / 172.564 MiB, 76%, 1.882 MiB/s, ETA 21s (xfr#32/1045)
