2026/08/05 23:33:36 NOTICE: cafezinho_Legacy_CEREBRO_STAGING_20260610_20260717/origens/tencent/A_GRANDE_REFORMA_DO_CAFEZINHO.md: Can't follow symlink without -L/--copy-links
2026/08/05 23:33:36 NOTICE: cafezinho_Legacy20260610_20260717/agent_data/monitoramento_humano: Can't follow symlink without -L/--copy-links
2026/08/05 23:33:36 NOTICE: cafezinho_Legacy20260610_20260717/agent_data/qualidade_redacao: Can't follow symlink without -L/--copy-links
2026/08/05 23:33:36 NOTICE: outros_legacy_minusculo_20260717/2026-05-02_diretorios_antigos/PCA_Redundancia/.env: Can't follow symlink without -L/--copy-links
2026/08/05 23:33:36 NOTICE: cafezinho_Legacy_CEREBRO_STAGING_20260610_20260717/origens/alibaba/cerebro_trindade/venv/lib64: Can't follow symlink without -L/--copy-links
2026/08/05 23:33:36 NOTICE: cafezinho_Legacy_CEREBRO_STAGING_20260610_20260717/origens/alibaba/cerebro_trindade/venv/bin/python: Can't follow symlink without -L/--copy-links
2026/08/05 23:33:36 NOTICE: cafezinho_Legacy_CEREBRO_STAGING_20260610_20260717/origens/alibaba/cerebro_trindade/venv/bin/python3.12: Can't follow symlink without -L/--copy-links
2026/08/05 23:33:36 NOTICE: cafezinho_Legacy_CEREBRO_STAGING_20260610_20260717/origens/alibaba/cerebro_trindade/venv/bin/python3: Can't follow symlink without -L/--copy-links
2026/08/05 23:33:36 NOTICE: cafezinho_Legacy20260610_20260717/backup_root/.wwebjs_auth/session-mayra-session/SingletonCookie: Can't follow symlink without -L/--copy-links
2026/08/05 23:33:36 NOTICE: cafezinho_Legacy20260610_20260717/backup_root/.wwebjs_auth/session-mayra-session/SingletonLock: Can't follow symlink without -L/--copy-links
2026/08/05 23:33:36 NOTICE: cafezinho_Legacy20260610_20260717/backup_root/.wwebjs_auth/session-mayra-session/SingletonSocket: Can't follow symlink without -L/--copy-links
2026/08/05 23:33:36 NOTICE: cafezinho_Legacy20260610_20260717/root/.wwebjs_auth/session-mayra-session/SingletonCookie: Can't follow symlink without -L/--copy-links
2026/08/05 23:33:36 NOTICE: cafezinho_Legacy20260610_20260717/root/.wwebjs_auth/session-mayra-session/SingletonLock: Can't follow symlink without -L/--copy-links
2026/08/05 23:33:36 NOTICE: cafezinho_Legacy20260610_20260717/root/.wwebjs_auth/session-mayra-session/SingletonSocket: Can't follow symlink without -L/--copy-links
2026/08/05 23:33:39 INFO  : INDEX.md: Copied (new)
2026/08/05 23:33:41 INFO  : PLANO_REORGANIZACAO_20260717.md: Copied (new)
2026/08/05 23:33:42 INFO  : cafezinho_Legacy_20260717/inventario.json: Copied (new)
2026/08/05 23:33:42 INFO  : cafezinho_Legacy_20260717/MANIFEST.md: Copied (new)
2026/08/05 23:33:43 INFO  : _logs/mv_20260717.log: Copied (new)
2026/08/05 23:33:43 INFO  : _logs/backup_workspace_20260717.log: Copied (new)
2026/08/05 23:33:43 INFO  : _logs/backup_workspace_20260717_v2.log: Copied (new)
2026/08/05 23:33:43 INFO  : _logs/orlando_delta_20260717.log: Copied (new)
2026/08/05 23:33:44 INFO  : cafezinho_Legacy_Cerebro_dup_inbox_20260620_20260717/00_LEIA_PRIMEIRO_LEGACY.md: Copied (new)
2026/08/05 23:33:46 INFO  : cafezinho_Legacy_CEREBRO_STAGING_20260610_20260717/00_LEIA_PRIMEIRO_LEGACY.md: Copied (new)
2026/08/05 23:33:46 INFO  : cafezinho_Legacy_Cerebro_dup_inbox_20260620_20260717/MANIFEST.md: Copied (new)
2026/08/05 23:33:46 INFO  : cafezinho_Legacy_Cerebro_dup_inbox_20260620_20260717/inventario.json: Copied (new)
2026/08/05 23:33:47 INFO  : preflight_prova_real_r5_20260718_154915.tgz: Copied (new)
2026/08/05 23:33:47 INFO  : cafezinho_Legacy_CEREBRO_STAGING_20260610_20260717/MANIFEST.md: Copied (new)
2026/08/05 23:33:48 INFO  : BACKUP_DRIVE_20260717/MANIFEST.md: Copied (new)
2026/08/05 23:33:48 INFO  : cafezinho_Legacy_CEREBRO_STAGING_20260610_20260717/inventario.json: Copied (new)
2026/08/05 23:33:49 INFO  : cerebro_Foruns_backup_limpeza_codex_publicador_crontab_20260615_20260717/MANIFEST.md: Copied (new)
2026/08/05 23:33:51 INFO  : cerebro_Foruns_backup_limpeza_codex_publicador_crontab_20260615_20260717/canal_trindade.md: Copied (new)
2026/08/05 23:33:51 INFO  : cerebro_Foruns_backup_limpeza_20260615_150354_20260717/MANIFEST.md: Copied (new)
2026/08/05 23:33:51 INFO  : cerebro_Foruns_backup_limpeza_20260615_150354_20260717/inventario.json: Copied (new)
2026/08/05 23:33:51 INFO  : cerebro_Foruns_backup_limpeza_20260615_150354_20260717/canal_trindade.md: Copied (new)
2026/08/05 23:33:51 INFO  : cerebro_Foruns_backup_limpeza_codex_publicador_crontab_20260615_20260717/inventario.json: Copied (new)
