2026/08/07 21:40:50 NOTICE: root/agent_data/banco_midia/banco_imagens_reais.db: Can't follow symlink without -L/--copy-links
2026/08/07 21:40:53 INFO  : publicadas_cicero.jsonl: Copied (new)
2026/08/07 21:40:56 INFO  : Foruns/credenciais.md: Copied (new)
2026/08/07 21:40:57 INFO  : Foruns/forum_cicero_novo.md.bak_pre_votacao_chineses_20260512_2305: Copied (new)
2026/08/07 21:40:57 INFO  : Tutoriais/Guia_Colaborador_Rio_Carta.pdf: Copied (new)
2026/08/07 21:40:57 INFO  : Tutoriais/Guia_Colaborador_Rio_Carta.pdf.bak_pre_link_fix_20260514_064038: Copied (new)
2026/08/07 21:40:58 INFO  : cicero/.env.vercel.production: Copied (new)
2026/08/07 21:40:58 INFO  : cicero/.env.local: Copied (new)
2026/08/07 21:40:58 INFO  : cicero/.env.vercel: Copied (new)
2026/08/07 21:40:59 INFO  : root/ceara_confirm_published.py: Copied (new)
2026/08/07 21:40:59 INFO  : cicero/.env: Copied (new)
2026/08/07 21:40:59 INFO  : root/chaves_cicero.env.bak_qwen_20260517_20260517_093647: Copied (new)
2026/08/07 21:40:59 INFO  : root/chaves_cicero.env.bak_dsk_20260803_1614: Copied (new)
2026/08/07 21:40:59 INFO  : cicero/.gitignore: Copied (new)
2026/08/07 21:40:59 INFO  : root/chaves_cicero.env.bak_qwen_20260521_20260521_151147_codex: Copied (new)
2026/08/07 21:41:00 INFO  : cicero/.vercelignore: Copied (new)
2026/08/07 21:41:00 INFO  : root/chaves_cicero.env: Copied (new)
2026/08/07 21:41:01 INFO  : root/cicero_agente_comentarista.py.bak_pre_supabase_20260519: Copied (new)
2026/08/07 21:41:01 INFO  : root/cicero_gerador_imagem_editorial.py.bak_pre_qwen_20260515_1159: Copied (new)
2026/08/07 21:41:01 INFO  : cicero/package.json: Copied (new)
2026/08/07 21:41:40 INFO  : cicero/README.md: Copied (new)
2026/08/07 21:41:41 INFO  : root/cicero_admin.env: Copied (new)
2026/08/07 21:41:41 INFO  : cicero/astro.config.mjs: Copied (new)
2026/08/07 21:41:41 INFO  : cicero/package-lock.json: Copied (new)
2026/08/07 21:41:41 INFO  : root/cicero_gerenciador_tokens.py.bak_pre_qwen_image_20260515_1159: Copied (new)
2026/08/07 21:41:41 INFO  : root/cicero_gerenciador_imagens.py.bak_pre_qwen_vision_20260515_1226: Copied (new)
2026/08/07 21:41:41 INFO  : root/cicero_agente_roteador_llm.py.bak_pre_qwen_vision_20260515_1226: Copied (new)
2026/08/07 21:41:41 INFO  : root/cicero_gerenciador_imagens.py.bak_pre_media_db_path_20260515_1221: Copied (new)
2026/08/07 21:41:41 INFO  : root/cicero_indexador_google.py.bak_pre_indexing_split_20260607: Copied (new)
2026/08/07 21:41:44 INFO  : cicero/publicador_web.py: Copied (new)
2026/08/07 21:41:44 INFO  : root/logs/cicero_coleta_capital.log: Copied (new)
2026/08/07 21:41:44 INFO  : cicero/tsconfig.json: Copied (new)
2026/08/07 21:41:44 INFO  : root/cicero_smoke_markdown.py.bak_pre_image_fallback_20260515_1221: Copied (new)
2026/08/07 21:41:45 INFO  : root/logs/cicero_coleta_all.log: Copied (new)
2026/08/07 21:41:45 INFO  : cicero/.vscode/extensions.json: Copied (new)
2026/08/07 21:41:46 INFO  : cicero/vercel.json: Copied (new)
2026/08/07 21:41:47 INFO  : root/config/cicero_cascatas_llm.json.bak_pre_china_mistral_20260515_1226: Copied (new)
2026/08/07 21:41:47 INFO  : cicero/.vscode/launch.json: Copied (new)
2026/08/07 21:41:49 INFO  : cicero/.vercel/README.txt: Copied (new)
2026/08/07 21:41:49 INFO  : cicero/.vercel/project.json: Copied (new)
2026/08/07 21:41:50 INFO  :     4.417 MiB / 685.798 MiB, 1%, 146.999 KiB/s, ETA 1h19m6s (xfr#39/6373)
2026/08/07 21:41:50 INFO  : cicero/.astro/content.d.ts: Copied (new)
2026/08/07 21:41:50 INFO  : cicero/.astro/content-modules.mjs: Copied (new)
2026/08/07 21:41:50 INFO  : cicero/.astro/content-assets.mjs: Copied (new)
2026/08/07 21:41:51 INFO  : cicero/.astro/types.d.ts: Copied (new)
2026/08/07 21:41:51 INFO  : cicero/.astro/fonts.d.ts: Copied (new)
2026/08/07 21:41:52 INFO  : cicero/logs/cicero_hourly_cron.log: Copied (new)
2026/08/07 21:41:52 INFO  : root/cicero_smoke_markdown.py.bak_pre_fase1_kimi_20260521_1222: Copied (new)
2026/08/07 21:41:54 INFO  : cicero/logs/cicero_zelador_destaques.log: Copied (new)
2026/08/07 21:41:54 INFO  : cicero/logs/cicero_relatorio_bloqueios.md: Copied (new)
2026/08/07 21:41:54 INFO  : cicero/public/ads.txt: Copied (new)
2026/08/07 21:41:54 INFO  : cicero/logs/cicero_publication_audit.jsonl: Copied (new)
2026/08/07 21:41:55 INFO  : cicero/public/favicon.ico: Copied (new)
2026/08/07 21:41:55 INFO  : cicero/public/favicon.png: Copied (new)
2026/08/07 21:41:56 INFO  : cicero/public/favicon.svg: Copied (new)
2026/08/07 21:41:56 INFO  : cicero/.git/HEAD: Copied (new)
2026/08/07 21:41:56 INFO  : cicero/.git/config: Copied (new)
2026/08/07 21:41:56 INFO  : cicero/.git/ORIG_HEAD: Copied (new)
2026/08/07 21:41:56 INFO  : cicero/.git/description: Copied (new)
2026/08/07 21:41:56 INFO  : cicero/.git/FETCH_HEAD: Copied (new)
2026/08/07 21:41:56 INFO  : cicero/.git/COMMIT_EDITMSG: Copied (new)
2026/08/07 21:41:57 INFO  : cicero/.git/index: Copied (new)
2026/08/07 21:41:58 INFO  : cicero/src/consts.ts: Copied (new)
2026/08/07 21:42:01 INFO  : cicero/tools/cicero_hourly_state.json: Copied (new)
2026/08/07 21:42:27 INFO  : cicero/scripts/cicero_hourly_cron.sh: Copied (new)
2026/08/07 21:42:29 INFO  : cicero/src/content.config.ts: Copied (new)
2026/08/07 21:42:29 INFO  : cicero/.astro/collections/blog.schema.json: Copied (new)
2026/08/07 21:42:29 INFO  : cicero/.vercel/output/config.json: Copied (new)
2026/08/07 21:42:29 INFO  : cicero/tools/cicero_hourly_queue.json: Copied (new)
2026/08/07 21:42:29 INFO  : cicero/tools/cicero_hourly_queue.json.bak: Copied (new)
2026/08/07 21:42:29 INFO  : cicero/scripts/cicero_publish_hourly_batch.mjs: Copied (new)
2026/08/07 21:42:29 INFO  : cicero/scripts/comprimir_hero.mjs: Copied (new)
2026/08/07 21:42:30 INFO  : cicero/scripts/cicero_zelador_destaques.py: Copied (new)
2026/08/07 21:42:31 INFO  : cicero/.git/logs/HEAD: Copied (new)
2026/08/07 21:42:32 INFO  : cicero/scripts/gerar_prefeitos_ce_2024_tse.py: Copied (new)
2026/08/07 21:42:32 INFO  : cicero/scripts/gerar_deputados_estaduais_ce_2022_tse.py: Copied (new)
2026/08/07 21:42:33 INFO  : cicero/.git/info/exclude: Copied (new)
2026/08/07 21:42:35 INFO  : cicero/dist/client/ads.txt: Copied (new)
2026/08/07 21:42:35 INFO  : cicero/dist/client/favicon.ico: Copied (new)
2026/08/07 21:42:35 INFO  : cicero/scripts/gerar_vereadores_ce_tse.py: Copied (new)
2026/08/07 21:42:36 INFO  : cicero/dist/client/rss.xml: Copied (new)
2026/08/07 21:42:36 INFO  : cicero/scripts/gerar_deputados_federais_senadores_ce_2022_tse.py: Copied (new)
2026/08/07 21:42:36 INFO  : cicero/dist/client/index.html: Copied (new)
2026/08/07 21:42:37 INFO  : cicero/dist/client/sitemap-0.xml: Copied (new)
2026/08/07 21:42:38 INFO  : cicero/dist/client/favicon.svg: Copied (new)
2026/08/07 21:42:38 INFO  : cicero/dist/client/favicon.png: Copied (new)
2026/08/07 21:42:38 INFO  : cicero/dist/client/sitemap-index.xml: Copied (new)
2026/08/07 21:42:39 INFO  : cicero/src/assets/blog-placeholder-1.jpg: Copied (new)
2026/08/07 21:42:39 INFO  : cicero/src/assets/blog-placeholder-2.jpg: Copied (new)
2026/08/07 21:42:39 INFO  : cicero/src/assets/blog-placeholder-5.jpg: Copied (new)
2026/08/07 21:42:39 INFO  : cicero/src/assets/blog-placeholder-4.jpg: Copied (new)
2026/08/07 21:42:39 INFO  : cicero/src/assets/blog-placeholder-3.jpg: Copied (new)
2026/08/07 21:42:40 INFO  : cicero/src/assets/logo-transparent.png: Copied (new)
2026/08/07 21:42:40 INFO  : cicero/src/assets/blog-placeholder-about.jpg: Copied (new)
2026/08/07 21:42:40 INFO  : cicero/src/assets/logo.png: Copied (new)
2026/08/07 21:42:41 INFO  : cicero/.git/hooks/applypatch-msg.sample: Copied (new)
2026/08/07 21:42:42 INFO  : cicero/.git/hooks/pre-applypatch.sample: Copied (new)
2026/08/07 21:42:42 INFO  : cicero/.git/hooks/commit-msg.sample: Copied (new)
2026/08/07 21:42:42 INFO  : cicero/.git/hooks/post-update.sample: Copied (new)
2026/08/07 21:42:42 INFO  : cicero/.git/hooks/pre-commit.sample: Copied (new)
2026/08/07 21:42:42 INFO  : cicero/.git/hooks/fsmonitor-watchman.sample: Copied (new)
2026/08/07 21:42:43 INFO  : cicero/.git/hooks/pre-rebase.sample: Copied (new)
2026/08/07 21:42:44 INFO  : cicero/.git/hooks/pre-merge-commit.sample: Copied (new)
2026/08/07 21:42:44 INFO  : cicero/.git/hooks/update.sample: Copied (new)
2026/08/07 21:42:44 INFO  : cicero/src/layouts/BlogPost.astro: Copied (new)
2026/08/07 21:42:44 INFO  : cicero/.git/hooks/prepare-commit-msg.sample: Copied (new)
2026/08/07 21:42:45 INFO  : cicero/src/layouts/LayoutPerfil.astro: Copied (new)
2026/08/07 21:42:46 INFO  : cicero/.vercel/output/_functions/entry.mjs: Copied (new)
2026/08/07 21:42:46 INFO  : cicero/.git/hooks/pre-receive.sample: Copied (new)
2026/08/07 21:42:46 INFO  : cicero/.git/hooks/pre-push.sample: Copied (new)
2026/08/07 21:42:47 INFO  : cicero/.vercel/output/_functions/virtual_astro_middleware.mjs: Copied (new)
2026/08/07 21:42:47 INFO  : cicero/tools/quarentena_fila_cicero/queue_original_20260515182419.json: Copied (new)
2026/08/07 21:42:49 INFO  : cicero/src/components/Footer.astro: Copied (new)
2026/08/07 21:42:49 INFO  : cicero/src/components/BaseHead.astro: Copied (new)
2026/08/07 21:42:49 INFO  : cicero/tools/quarentena_fila_cicero/relatorio_20260515182419.md: Copied (new)
2026/08/07 21:42:49 INFO  : cicero/tools/quarentena_fila_cicero/queue_removidos_20260515182419.json: Copied (new)
2026/08/07 21:42:50 INFO  :     7.506 MiB / 686.104 MiB, 1%, 66.187 KiB/s, ETA 2h54m58s (xfr#114/6373)
2026/08/07 21:42:50 INFO  : cicero/src/components/FormattedDate.astro: Copied (new)
2026/08/07 21:42:50 INFO  : cicero/src/styles/global.css: Copied (new)
2026/08/07 21:42:50 INFO  : cicero/src/components/Header.astro: Copied (new)
2026/08/07 21:42:51 INFO  : cicero/src/components/Header.astro.bak_pre_sprint1_layout2col_20260515_1638_claude: Copied (new)
2026/08/07 21:42:51 INFO  : cicero/src/components/HeaderCidade.astro: Copied (new)
2026/08/07 21:42:51 INFO  : cicero/src/components/Interlinks.astro: Copied (new)
2026/08/07 21:42:51 INFO  : cicero/src/components/HeaderLink.astro: Copied (new)
2026/08/07 21:42:52 INFO  : cicero/src/components/HeaderTesteMacro.astro: Copied (new)
2026/08/07 21:42:52 INFO  : cicero/src/components/NewsletterMailchimp.astro: Copied (new)
2026/08/07 21:42:54 INFO  : cicero/.git/refs/heads/main: Copied (new)
2026/08/07 21:42:54 INFO  : cicero/src/components/OpenComments.jsx: Copied (new)
2026/08/07 21:42:55 INFO  : cicero/src/components/SocialShare.astro: Copied (new)
2026/08/07 21:42:57 INFO  : cicero/public/hero/smoke-202606292302-ecohub-sol-nascente-a-marquise-ambiental-avanca-no-ceara-e-acelera-a-transicao-para-o-fim-dos-li.jpeg: Copied (new)
2026/08/07 21:42:57 INFO  : cicero/public/hero/smoke-202606292302-alece-entrega-medalha-virgilio-tavora-a-cid-gomes-e-camilo-santana-em-3-de-julho.png: Copied (new)
2026/08/07 21:42:58 INFO  : cicero/src/pages/about.astro: Copied (new)
2026/08/07 21:42:58 INFO  : cicero/src/pages/editorial.astro: Copied (new)
2026/08/07 21:42:58 INFO  : cicero/public/hero/smoke-202606292302-governo-do-ceara-autoriza-obras-de-variante-da-ce-341-em-pentecoste.jpg: Copied (new)
2026/08/07 21:42:58 INFO  : cicero/public/hero/smoke-202606292302-em-julho-fortaleza-e-o-2o-destino-mais-procurado-do-brasil-para-as-ferias.jpg: Copied (new)
2026/08/07 21:42:59 INFO  : cicero/public/hero/smoke-202606292302-pib-cearense-cresce-1-93-no-1o-trimestre-do-ano-e-fica-acima-do-nacional.jpeg: Copied (new)
2026/08/07 21:42:59 INFO  : cicero/src/pages/index.astro: Copied (new)
2026/08/07 21:42:59 INFO  : cicero/src/pages/quem-somos.astro: Copied (new)
2026/08/07 21:43:00 INFO  : cicero/public/hero/smoke-202606301703-fortaleza-inaugura-nova-avenida-em-julho-de-2026-qwen.jpg: Copied (new)
2026/08/07 21:43:00 INFO  : cicero/public/hero/smoke-202607071758-cagece-avanca-em-obra-de-novo-sistema-de-abastecimento-que-beneficiara-mais-de-158-mil-habitante.jpg: Copied (new)
2026/08/07 21:43:00 INFO  : cicero/src/pages/rss.xml.js: Copied (new)
2026/08/07 21:43:00 INFO  : cicero/public/hero/smoke-202607071758-centro-fashion-fortaleza-tera-funcionamento-especial-aos-domingos-durante-o-mes-de-julho.jpeg: Copied (new)
2026/08/07 21:43:01 INFO  : cicero/public/hero/smoke-202607071758-taua-adere-ao-programa-impulsa-ceara-e-fortalece-acoes-para-impulsionar-o-empreendedorismo-nos-i.jpg: Copied (new)
2026/08/07 21:43:02 INFO  : cicero/src/pages/teste-header-novo.astro: Copied (new)
2026/08/07 21:43:02 INFO  : cicero/src/data/ceTaxonomy.ts: Copied (new)
2026/08/07 21:43:02 INFO  : cicero/public/hero/smoke-202607131501-10-curisidades-sobre-nosso-estado-que-voce-nao-conhecia-qwen.jpg: Copied (new)
2026/08/07 21:43:27 INFO  : cicero/src/data/deputados_federais_eleitos_ce_2022.csv: Copied (new)
2026/08/07 21:43:29 INFO  : cicero/src/data/parlamentares_ce.json: Copied (new)
2026/08/07 21:43:29 INFO  : cicero/src/data/governo_estado_ce_atual.json: Copied (new)
2026/08/07 21:43:29 INFO  : cicero/src/utils/stickyPosts.ts: Copied (new)
2026/08/07 21:43:29 INFO  : cicero/src/data/deputados_estaduais_eleitos_ce_2022.csv: Copied (new)
2026/08/07 21:43:29 INFO  : cicero/src/data/governo_estado_ce_atual.csv: Copied (new)
2026/08/07 21:43:30 INFO  : cicero/src/data/deputados_federais_eleitos_ce_2022.json: Copied (new)
2026/08/07 21:43:30 INFO  : cicero/src/data/colunistas.json: Copied (new)
2026/08/07 21:43:31 INFO  : cicero/src/data/prefeitos_eleitos_ce_2024.csv: Copied (new)
2026/08/07 21:43:31 INFO  : cicero/src/data/senadores_eleitos_ce_2022.csv: Copied (new)
2026/08/07 21:43:31 INFO  : cicero/src/data/rjTaxonomy.ts: Copied (new)
2026/08/07 21:43:32 INFO  : cicero/src/data/prefeitos_eleitos_ce_2024.json: Copied (new)
2026/08/07 21:43:33 INFO  : cicero/src/data/deputados_estaduais_eleitos_ce_2022.json: Copied (new)
2026/08/07 21:43:33 INFO  : cicero/src/data/senadores_eleitos_ce_2022.json: Copied (new)
2026/08/07 21:43:33 INFO  : cicero/src/assets/fonts/atkinson-bold.woff: Copied (new)
2026/08/07 21:43:33 INFO  : cicero/src/data/vereadores_ce.json: Copied (new)
