fonte,"ComexStat/MDIC api-comexstat.mdic.gov.br/general — flow=export, country=160 (China), ncm=12011000+12019000 (soja)"
coleta,"09/09/2026 ~08:2x BRT, ZCode Dell"
periodo,mes,metricFOB_USD,metricFOB_USD_milhoes
2025,01,323952013,324.0
2025,02,1982742872,1982.7
2025,03,4312648804,4312.6
2025,04,4126925834,4126.9
2025,05,4053433879,4053.4
2025,06,4113040229,4113.0
2025,07,3884155685,3884.2
2025,08,3295814334,3295.8
2025,09,2863753704,2863.8
2025,10,2649336440,2649.3
2025,11,1745613207,1745.6
2025,12,1153687638,1153.7
2026,01,462056240,462.1
2026,02,2089216325,2089.2
2026,03,3998249689,3998.2
2026,04,4784592860,4784.6
2026,05,4457232952,4457.2
2026,06,4449047830,4449.0
2026,07,4115984368,4116.0
2026,08,3140023236,3140.0

ACUM_2026_JAN_AGO,,27496403500,27496
