"(2) China's Total Export & Import Values by Trade Mode,Aug 2026 (in CNY)"
Unit: CNY 100 Million
Trade Mode,8,Year-on-Year (±%)
Export & Import,Export,Import,Export & Import,Export,Import
Total Value,"46,455.2","27,274.1","19,181.1",19.8,18.6,21.7
Ordinary Trade,"27,560.3","17,176.2","10,384.1",12.0,13.1,10.2
Free Assistance and Donated Materials between Countries/International Organizations,2.1,2.0,0.1,-23.8,-28.2,-
Other Donated Materials,0.0,0.0,-,1297.7,1297.7,-
Processing and Assembling Trade with Foreign-Supplied Materials,"1,743.7",908.4,835.3,56.5,85.5,33.7
Processing Trade with Imported Materials,"7,695.7","4,406.3","3,289.4",22.0,11.9,38.7
Frontier Petty Trade,320.9,277.1,43.8,18.2,16.8,27.8
Processing Trade Imported Equipment,0.7,-,0.7,28.9,-,28.9
Exports for Overseas Contracted Projects,112.7,112.7,-,-7.0,-7.0,-
Leasing Trade,44.5,43.2,1.3,-3.6,74.6,-93.9
Imported Equipment/Articles Invested by Foreign-Funded Enterprises,3.0,-,3.0,47.0,-,47.0
Outward Processing Trade,58.6,24.6,34.1,93.2,116.2,79.5
Duty-Free Goods,15.1,-,15.1,64.9,-,64.9
Entry and Exit Goods in Bonded Control Areas,"2,381.0",638.9,"1,742.2",38.2,32.9,40.3
Logistic Goods by Customs Special Control Areas,"5,806.4","3,093.7","2,712.7",59.4,74.9,44.8
Imported Equipment by Customs Special Control Areas,39.9,-,39.9,-40.5,-,-40.5
Other,670.4,590.9,79.5,-17.3,-19.3,1.4
"Note: 1. From 2014, the customs statistics include ""Duty-Free Goods""."
"2. From 2018, ""Compensation Trade"", ""Consignment Trade"" and ""Barter Trade"" are included in ""Other"" item."
"3. Due to the cancellation of the ""Duty-Free Foreign Exchange Commodities"" supervision method in October 2025, this trade method 
             grouping will be discontinued as of 2026, and data for 2025 shall be categorized nuder ""Others"" instead."
"4. Foreign-invested enterprises include those invested by entrepreneurs from China's Hong Kong, Macao, and Taiwan."

