"(2) China's Total Export & Import Values by Trade Mode, Aug 2026 (in USD)"
Unit: USD1 Million
Trade Mode,8,Year-on-Year (±%)
Export & Import,Export,Import,Export & Import,Export,Import
Total Value,"683,796.7","401,441.0","282,355.8",26.3,25.0,28.2
Ordinary Trade,"405,604.2","252,800.2","152,804.0",18.0,19.1,16.1
Free Assistance and Donated Materials between Countries/International Organizations,31.1,29.3,1.8,-19.8,-24.4,-
Other Donated Materials,0.3,0.3,-,1372.0,1372.0,-
Processing and Assembling Trade with Foreign-Supplied Materials,"25,673.2","13,373.8","12,299.4",64.9,95.4,40.9
Processing Trade with Imported Materials,"113,307.7","64,862.7","48,445.1",28.5,17.9,46.2
Frontier Petty Trade,"4,725.2","4,080.6",644.6,24.5,23.0,34.6
Processing Trade Imported Equipment,9.7,-,9.7,36.1,-,36.1
Exports for Overseas Contracted Projects,"1,658.0","1,658.0",-,-2.1,-2.1,-
Leasing Trade,655.1,635.8,19.3,1.5,83.8,-93.6
Imported Equipment/Articles Invested by Foreign-Funded Enterprises,44.7,-,44.7,55.7,-,55.7
Outward Processing Trade,863.4,361.6,501.7,103.6,127.7,89.1
Duty-Free Goods,221.8,-,221.8,73.7,-,73.7
Entry and Exit Goods in Bonded Control Areas,"35,051.9","9,402.1","25,649.9",45.6,40.0,47.8
Logistic Goods by Customs Special Control Areas,"85,492.9","45,542.0","39,950.9",68.0,84.3,52.6
Imported Equipment by Customs Special Control Areas,592.1,-,592.1,-36.8,-,-36.8
Other,"9,865.5","8,694.6","1,170.8",-12.9,-15.1,6.9
"Note: 1. From 2014, the customs statistics include ""Duty-Free Goods""."
"2. From 2018, ""Compensation Trade"", ""Consignment Trade"" and ""Barter Trade"" are included in ""Other"" item."
"3. Due to the cancellation of the ""Duty-Free Foreign Exchange Commodities"" supervision method in October 2025, this trade method 
             grouping will be discontinued as of 2026, and data for 2025 shall be categorized nuder ""Others"" instead."
"4. Foreign-invested enterprises include those invested by entrepreneurs from China's Hong Kong, Macao, and Taiwan."

