"(3) China's Total Export & Import Values by Trade Mode, January-Aug 2026 (in CNY)"
Unit: CNY 100 Million
Trade Mode,1-to-8,Year-on-Year (±%)
Export & Import,Export,Import,Export & Import,Export,Import
Total Value,"347,752.7","201,657.8","146,094.9",17.6,14.6,22.0
Ordinary Trade,"208,897.8","127,784.9","81,113.0",10.5,9.9,11.4
Free Assistance and Donated Materials between Countries/International Organizations,24.4,21.9,2.6,-4.1,-13.7,1871.4
Other Donated Materials,0.3,0.3,0.0,-86.6,-86.7,-85.7
Processing and Assembling Trade with Foreign-Supplied Materials,"12,449.2","6,331.7","6,117.5",53.9,72.9,38.2
Processing Trade with Imported Materials,"55,077.6","33,196.0","21,881.6",21.5,14.1,34.9
Frontier Petty Trade,"2,280.4","1,936.1",344.3,-10.4,-15.0,30.1
Processing Trade Imported Equipment,5.1,-,5.1,61.4,-,61.4
Exports for Overseas Contracted Projects,850.6,850.6,-,2.3,2.3,-
Leasing Trade,350.6,252.5,98.1,4.1,0.7,14.0
Imported Equipment/Articles Invested by Foreign-Funded Enterprises,26.1,-,26.1,1.8,-,1.8
Outward Processing Trade,380.5,140.4,240.2,73.4,56.1,85.4
Duty-Free Goods,143.5,-,143.5,39.3,-,39.3
Entry and Exit Goods in Bonded Control Areas,"19,216.7","4,326.6","14,890.2",40.4,7.0,54.4
Logistic Goods by Customs Special Control Areas,"40,726.4","20,420.5","20,305.8",43.2,53.0,34.6
Imported Equipment by Customs Special Control Areas,244.1,-,244.1,-29.4,-,-29.4
Other,"7,079.3","6,396.4",682.9,6.0,6.1,5.6
"Note: 1. From 2014, the customs statistics include ""Duty-Free Goods""."
"2. From 2018, ""Compensation Trade"", ""Consignment Trade"" and ""Barter Trade"" are included in ""Other"" item."
"3. Due to the cancellation of the ""Duty-Free Foreign Exchange Commodities"" supervision method in October 2025, this trade method 
             grouping will be discontinued as of 2026, and data for 2025 shall be categorized nuder ""Others"" instead."
"4. Foreign-invested enterprises include those invested by entrepreneurs from China's Hong Kong, Macao, and Taiwan."

