"(3) China's Total Export & Import Values by Trade Mode, January-Aug 2026 (in USD)"
Unit: USD1 Million
Trade Mode,1-to-8,Year-on-Year (±%)
Export & Import,Export,Import,Export & Import,Export,Import
Total Value,"5,042,171.6","2,923,838.6","2,118,332.9",22.4,19.3,27.0
Ordinary Trade,"3,027,693.4","1,852,334.6","1,175,358.8",15.0,14.4,15.9
Free Assistance and Donated Materials between Countries/International Organizations,353.4,316.5,37.0,-0.5,-10.4,1956.3
Other Donated Materials,4.5,3.9,0.6,-86.0,-86.2,-85.0
Processing and Assembling Trade with Foreign-Supplied Materials,"180,726.5","91,940.6","88,786.0",60.4,80.3,44.0
Processing Trade with Imported Materials,"799,013.3","481,364.6","317,648.7",26.6,18.8,40.6
Frontier Petty Trade,"33,099.3","28,108.3","4,991.0",-6.6,-11.4,35.4
Processing Trade Imported Equipment,74.0,-,74.0,68.0,-,68.0
Exports for Overseas Contracted Projects,"12,323.8","12,323.8",-,6.4,6.4,-
Leasing Trade,"5,093.8","3,670.7","1,423.1",8.6,5.1,18.7
Imported Equipment/Articles Invested by Foreign-Funded Enterprises,377.4,-,377.4,5.9,-,5.9
Outward Processing Trade,"5,536.1","2,043.1","3,493.0",81.1,63.1,93.5
Duty-Free Goods,"2,077.1",-,"2,077.1",44.9,-,44.9
Entry and Exit Goods in Bonded Control Areas,"278,547.8","62,738.9","215,808.9",46.1,11.4,60.6
Logistic Goods by Customs Special Control Areas,"591,171.9","296,358.0","294,813.9",49.3,59.4,40.3
Imported Equipment by Customs Special Control Areas,"3,551.0",-,"3,551.0",-26.3,-,-26.3
Other,"102,528.5","92,635.9","9,892.6",10.3,10.3,9.7
"Note: 1. From 2014, the customs statistics include ""Duty-Free Goods""."
"2. From 2018, ""Compensation Trade"", ""Consignment Trade"" and ""Barter Trade"" are included in ""Other"" item."
"3. Due to the cancellation of the ""Duty-Free Foreign Exchange Commodities"" supervision method in October 2025, this trade method 
             grouping will be discontinued as of 2026, and data for 2025 shall be categorized nuder ""Others"" instead."
"4. Foreign-invested enterprises include those invested by entrepreneurs from China's Hong Kong, Macao, and Taiwan."

