"(4) China's Total Export & Import Values by Country/Region, Aug 2026 (in CNY)"
Unit: CNY 100 Million
Import Source,Export & Import,Export & Import,Export,Export,Import,Import,1-to-8 Total Year-on-Year (±%)
Export Destination,8,1- to-8,8,1- to-8,8,1- to-8,Export & Import,Export,Import
Total,"46,455.2","347,752.7","27,274.1","201,657.8","19,181.1","146,094.9",17.6,14.6,22.0
European Union,"5,304.5","41,970.7","3,743.3","29,351.8","1,561.2","12,618.9",8.1,10.8,2.2
of which: Germany,"1,314.6","10,501.7",813.8,"6,329.6",500.8,"4,172.2",5.5,13.0,-4.1
Netherlands,680.8,"5,470.3",553.9,"4,652.2",126.9,818.1,3.4,4.3,-1.5
France,535.1,"4,288.5",306.7,"2,421.7",228.4,"1,866.8",10.0,5.5,16.4
Italy,507.6,"3,991.5",347.7,"2,700.4",159.9,"1,291.0",13.1,13.7,11.9
United States (US),"3,789.1","27,637.1","2,886.1","20,710.2",903.0,"6,927.0",1.3,1.9,-0.7
ASEAN,"8,058.4","59,479.4","5,053.3","37,642.6","3,005.1","21,836.8",20.6,20.8,20.3
of which: Vietnam,"2,554.4","17,411.9","1,589.8","11,273.2",964.7,"6,138.7",29.3,23.0,42.8
Malaysia,"1,406.5","9,815.9",934.0,"6,325.4",472.4,"3,490.5",3.7,28.8,-23.3
Thailand,"1,105.8","8,906.5",769.0,"6,146.2",336.8,"2,760.3",21.6,26.5,12.0
Singapore,950.5,"6,897.1",631.7,"4,552.7",318.8,"2,344.4",23.6,15.3,43.9
Indonesia,"1,170.6","9,374.5",572.5,"4,474.9",598.2,"4,899.7",24.5,13.7,36.3
Philippines,537.7,"4,216.2",356.6,"3,056.8",181.1,"1,159.4",21.0,14.2,43.8
Japan,"2,089.1","16,793.5",943.9,"7,683.3","1,145.2","9,110.3",13.4,3.9,22.9
"Hong Kong, China","3,403.4","23,762.5","3,022.1","21,075.2",381.3,"2,687.4",49.2,44.3,102.9
R. O. Korea,"3,407.3","22,770.0","1,223.3","8,880.1","2,183.9","13,889.9",49.4,29.9,65.3
"Taiwan, China","2,561.1","17,886.1",733.8,"5,028.9","1,827.3","12,857.2",23.4,27.9,21.8
Australia,"1,532.9","12,211.4",504.5,"3,913.0","1,028.5","8,298.4",29.5,15.1,37.6
Russian Federation,"1,739.5","12,750.8",805.3,"5,832.7",934.2,"6,918.1",23.3,25.5,21.5
India,"1,142.5","8,626.5",990.2,"7,437.8",152.3,"1,188.6",17.8,15.4,35.7
United Kingdom (UK),674.3,"5,188.7",568.9,"4,338.9",105.4,849.8,6.4,8.7,-3.8
Canada,606.7,"4,991.8",330.9,"2,498.2",275.8,"2,493.7",12.4,5.8,19.9
New Zealand,132.6,"1,067.1",60.1,413.2,72.5,654.0,3.7,13.4,-1.6
Latin America,"3,914.4","29,168.8","2,137.8","15,269.2","1,776.6","13,899.6",14.5,9.1,21.0
of which: Brazil,"1,410.8","10,227.1",549.7,"3,956.9",861.1,"6,270.2",19.0,17.6,20.0
Africa,"2,330.6","18,904.1","1,654.8","12,219.0",675.8,"6,685.1",18.5,20.9,14.2
of which: South Africa,352.1,"2,964.3",176.1,"1,288.7",176.0,"1,675.6",21.4,23.9,19.6
Regional Comprehensive Economic Partnership,"15,218.3","112,307.7","7,783.2","58,518.5","7,435.1","53,789.2",25.1,19.1,32.3
Jointly build the countries along Belt and Road Routes,"23,793.3","177,434.6","13,813.3","102,238.8","9,980.0","75,195.8",15.9,15.0,17.2
"Note:
1.The Association of Southeast Asian Nations (ASEAN) includes: Brunei, Myanmar, Cambodia, Indonesia, Laos, Malaysia, Philippines, Singapore, Thailand, Vietnam;   
2.The European Union (EU) includes: Belgium, Denmark, Germany, France, Ireland, Italy, Luxembourg, Netherlands, Greece, Portugal, Spain, Austria, Finland, Sweden, Cyprus, Hungary, Malta, Poland, Estonia, Latvia, Lithuania, Slovenia, Czech Republic, Slovakia, Bulgaria, Romania, Croatia;
3. APEC includes Brunei, Hong Kong, Indonesia, Japan, Malaysia, the Philippines, Singapore, South Korea, Thailand, Vietnam, China, Taiwan, China, Russia, Chile, Mexico, Peru, Canada, the United States, Australia, New Zealand and Papua New Guinea. 
4. The Regional Comprehensive Economic Partnership (RCEP) includes Brunei, Myanmar, Cambodia, Indonesia, Laos, Malaysia, the Philippines, Singapore, Thailand, Vietnam, Japan, South Korea, Australia, and New Zealand. 
5. Jointly build the the Belt and Road countries: from the ""China Belt and Road Network""（ https://www.yidaiyilu.gov.cn ）Listed countries and regions"

