"(4) China's Total Export & Import Values by Country/Region, Aug 2026 (in USD)"
Unit: USD1 Million
Import Source,Export & Import,Export & Import,Export,Export,Import,Import,1-to-8 Total Year-on-Year (±%)
Export Destination,8,1- to-8,8,1- to-8,8,1- to-8,Export & Import,Export,Import
Total,"683,796.7","5,042,171.6","401,441.0","2,923,838.6","282,355.8","2,118,332.9",22.4,19.3,27.0
European Union,"78,089.9","608,099.6","55,106.3","425,294.9","22,983.6","182,804.7",12.4,15.3,6.2
of which: Germany,"19,355.6","152,138.5","11,983.3","91,721.7","7,372.4","60,416.7",9.7,17.5,-0.3
Netherlands,"10,025.6","79,248.9","8,156.7","67,402.5","1,869.0","11,846.5",7.5,8.5,2.3
France,"7,878.3","62,148.0","4,513.5","35,086.6","3,364.8","27,061.5",14.4,9.7,21.1
Italy,"7,470.6","57,827.9","5,115.0","39,107.9","2,355.6","18,720.0",17.6,18.2,16.4
United States (US),"55,768.0","400,839.8","42,475.3","300,329.3","13,292.7","100,510.5",5.5,6.2,3.4
ASEAN,"118,612.9","862,750.6","74,377.2","546,018.0","44,235.7","316,732.6",25.6,25.8,25.3
of which: Vietnam,"37,606.3","252,771.7","23,404.4","163,615.6","14,201.9","89,156.1",34.8,28.2,48.9
Malaysia,"20,701.0","142,348.2","13,746.0","91,768.7","6,955.0","50,579.5",8.0,34.2,-20.2
Thailand,"16,276.3","129,167.5","11,319.6","89,128.1","4,956.7","40,039.3",26.6,31.7,16.7
Singapore,"13,988.7","100,018.0","9,296.3","66,041.5","4,692.4","33,976.5",28.7,20.0,49.8
Indonesia,"17,227.9","135,867.1","8,423.2","64,869.0","8,804.8","70,998.1",29.5,18.4,41.7
Philippines,"7,913.2","61,173.5","5,248.1","44,316.9","2,665.1","16,856.6",26.1,18.9,50.1
Japan,"30,779.0","243,368.3","13,902.3","111,329.8","16,876.6","132,038.5",17.9,8.1,27.7
"Hong Kong, China","50,108.0","344,868.2","44,493.1","305,881.8","5,614.9","38,986.5",55.5,50.4,111.3
R. O. Korea,"50,168.9","330,617.3","18,011.4","128,855.2","32,157.5","201,762.1",55.8,35.3,72.5
"Taiwan, China","37,698.9","259,484.2","10,802.8","72,973.4","26,896.2","186,510.8",28.6,33.2,26.8
Australia,"22,555.8","176,967.0","7,422.1","56,705.4","15,133.7","120,261.7",34.8,19.8,43.2
Russian Federation,"25,603.2","185,047.8","11,851.1","84,675.1","13,752.0","100,372.7",28.4,30.7,26.5
India,"16,814.8","125,043.8","14,572.9","107,810.3","2,241.9","17,233.5",22.6,20.1,41.3
United Kingdom (UK),"9,924.8","75,201.1","8,373.4","62,888.5","1,551.4","12,312.6",10.7,13.1,0.0
Canada,"8,928.0","72,413.8","4,870.1","36,217.4","4,057.9","36,196.4",17.1,10.2,25.0
New Zealand,"1,951.9","15,456.0",885.2,"5,988.0","1,066.8","9,468.0",7.9,18.0,2.3
Latin America,"57,592.2","422,639.9","31,457.1","221,367.2","26,135.1","201,272.6",19.1,13.6,25.9
of which: Brazil,"20,753.6","148,239.3","8,088.9","57,354.5","12,664.7","90,884.8",23.9,22.4,24.9
Africa,"34,291.0","273,946.9","24,344.7","177,009.5","9,946.4","96,937.3",23.3,25.8,19.0
of which: South Africa,"5,182.0","42,994.2","2,592.1","18,684.1","2,589.8","24,310.1",26.5,29.0,24.6
Regional Comprehensive Economic Partnership,"224,040.5","1,628,959.7","114,571.0","848,699.1","109,469.5","780,260.7",30.2,24.0,37.8
Jointly build the countries along Belt and Road Routes,"350,189.3","2,572,447.6","203,296.2","1,482,271.6","146,893.1","1,090,176.0",20.7,19.7,22.0
"Note:
1.The Association of Southeast Asian Nations (ASEAN) includes: Brunei, Myanmar, Cambodia, Indonesia, Laos, Malaysia, Philippines, Singapore, Thailand, Vietnam;   
2.The European Union (EU) includes: Belgium, Denmark, Germany, France, Ireland, Italy, Luxembourg, Netherlands, Greece, Portugal, Spain, Austria, Finland, Sweden, Cyprus, Hungary, Malta, Poland, Estonia, Latvia, Lithuania, Slovenia, Czech Republic, Slovakia, Bulgaria, Romania, Croatia;
3. APEC includes Brunei, Hong Kong, Indonesia, Japan, Malaysia, the Philippines, Singapore, South Korea, Thailand, Vietnam, China, Taiwan, China, Russia, Chile, Mexico, Peru, Canada, the United States, Australia, New Zealand and Papua New Guinea. 
4. The Regional Comprehensive Economic Partnership (RCEP) includes Brunei, Myanmar, Cambodia, Indonesia, Laos, Malaysia, the Philippines, Singapore, Thailand, Vietnam, Japan, South Korea, Australia, and New Zealand. 
5. Jointly build the the Belt and Road countries: from the ""China Belt and Road Network""（ https://www.yidaiyilu.gov.cn ）Listed countries and regions"

