"(5) China's Major Exports by Quantity and Value, Aug 2026 (in CNY)"
Unit: CNY 100 Million
Commodity,Quantity Unit,8,1-8 Total,"1-8 Total, 2025","1-8 Total, Year-On-Year(%)"
Quantity,Value,Quantity,Value,Quantity,Value,Quantity,Value
Agriculture products*,—,-,623.2,-,"4,920.3",-,"4,723.0",-,4.2
Aquatic products,"10,000 Tons",34.7,110.9,295.3,900.5,283.8,941.2,4.0,-4.3
Grain food,"10,000 Tons",27.1,8.0,205.7,74.3,179.3,77.6,14.7,-4.2
Refined petroleum products,"10,000 Tons",601.0,441.5,"3,423.6","2,122.4","3,786.4","1,774.0",-9.6,19.6
"Rare-earth ore, metals, compounds",Ton,"4,735.1",5.0,"39,441.4",29.9,"44,355.3",20.3,-11.1,47.2
Medical and pharmaceutical products,"10,000 Tons",14.2,149.9,115.6,"1,315.2",107.7,"1,252.1",7.3,5.0
Fertilizers,"10,000 Tons",285.7,48.8,"2,131.7",358.2,"2,792.4",576.7,-23.7,-37.9
Plastic articles,-,-,673.0,-,"5,369.6",-,"5,002.0",-,7.3
"Suit-cases, hand bags and similar containers","10,000 Tons",30.7,166.3,246.6,"1,418.5",247.3,"1,481.0",-0.3,-4.2
"Textile yarn, fabrics and articles thereof",-,-,862.0,-,"6,767.4",-,"6,786.7",-,-0.3
Garments and clothing accessories,-,-,"1,078.9",-,"7,257.4",-,"7,378.4",-,-1.6
Footwear,"10,000 Pairs",7.5,252.2,58.2,"1,904.4",60.7,"2,080.5",-4.2,-8.5
Ceramic products,"10,000 Tons",160.0,79.4,"1,243.2",724.1,"1,272.3","1,042.5",-2.3,-30.5
"Products, of steel or iron","10,000 Tons","1,015.5",498.6,"7,514.9","3,659.6","7,749.3","3,890.2",-3.0,-5.9
Unwrought aluminium and aluminium products,"10,000 Tons",62.6,172.3,466.5,"1,289.0",399.6,991.8,16.7,30.0
Furniture and parts thereof,-,-,356.1,-,"3,069.6",-,"3,049.9",-,0.6
Toys,-,-,252.9,-,"1,571.0",-,"1,748.7",-,-10.2
Mechanical and electrical products *,-,-,"17,820.2",-,"129,051.6",-,"105,902.1",-,21.9
General machines,-,-,424.9,-,"3,459.1",-,"3,270.5",-,5.8
Automatic data processing machines and parts thereof,-,-,"2,065.4",-,"13,547.7",-,"9,454.9",-,43.3
Mobile phones,"10,000 Sets","5,259.6",597.5,"42,633.6","5,012.3","46,093.5","4,596.8",-7.5,9.0
Electric appliances of household type,"10,000 Sets","40,429.6",634.8,"314,783.7","4,847.8","299,368.5","4,722.9",5.1,2.6
Audio or video devices and parts thereof,-,-,268.8,-,"1,985.2",-,"1,830.9",-,8.4
Electronic integrated circuits,100 Million PCS,307.4,"2,766.4","2,425.4","17,668.4","2,328.9","9,043.4",4.1,95.4
Motor vehicles（including chassis fitted with engines),"10,000 Autos",104.7,"1,245.4",744.6,"8,899.2",492.5,"6,051.3",51.2,47.1
Parts and accessories of vehicle,-,-,617.3,-,"4,815.7",-,"4,624.7",-,4.1
Ships,Ship,487.0,449.6,"4,529.0","3,130.3","4,485.0","2,410.9",1.0,29.8
Flat panel display modules of liquid crystals,"10,000 PCS","20,371.6",203.0,"148,828.5","1,541.7","138,149.1","1,533.1",7.7,0.6
Medical or surgical instruments and apparatuses,-,-,139.2,-,"1,049.8",-,960.3,-,9.3
Lamps and lighting fittings and parts thereof,-,-,228.4,-,"1,685.1",-,"1,839.7",-,-8.4
Hi-tech products*,-,-,"8,454.7",-,"58,417.4",-,"42,614.1",-,37.1
"Note: 1. ""Agricultural products*"", “Mechanical and electrical products*"" and ""Hi-tech products*"" include relevant products listed in the table."
"2. For the scope of  commodities listed in this table, please refer to the Catalog of Key Import Commodities for Customs Statistics in the 
              ""Statistics"" column on China Customs website (www.customs.gov.cn)."

