"(5) China's Major Exports by Quantity and Value, Aug 2026 (in USD)"
Unit: USD1 Million
Commodity,Quantity Unit,8,1-8 Total,"1-8 Total,2025","1-8 Total, Year-On-Year(%)"
Quantity,Value,Quantity,Value,Quantity,Value,Quantity,Value
Agriculture products*,—,-,"9,172.8",-,"71,297.7",-,"65,772.7",-,8.4
Aquatic products,"10,000 Tons",34.7,"1,633.3",295.3,"13,046.4",283.8,"13,106.9",4.0,-0.5
Grain food,"10,000 Tons",27.1,118.5,205.7,"1,075.9",179.3,"1,080.7",14.7,-0.4
Refined petroleum products,"10,000 Tons",601.0,"6,496.6","3,423.6","30,800.9","3,786.4","24,706.4",-9.6,24.7
"Rare-earth ore, metals, compounds",Ton,"4,735.1",73.5,"39,441.4",433.9,"44,355.3",282.7,-11.1,53.5
Medical and pharmaceutical products,"10,000 Tons",14.2,"2,207.4",115.6,"19,060.1",107.7,"17,439.9",7.3,9.3
Fertilizers,"10,000 Tons",285.7,717.6,"2,131.7","5,180.0","2,792.4","8,031.8",-23.7,-35.5
Plastic articles,-,-,"9,904.3",-,"77,801.4",-,"69,650.9",-,11.7
"Suit-cases, hand bags and similar containers","10,000 Tons",30.7,"2,447.1",246.6,"20,547.1",247.3,"20,618.4",-0.3,-0.3
"Textile yarn, fabrics and articles thereof",-,-,"12,687.6",-,"98,029.2",-,"94,502.2",-,3.7
Garments and clothing accessories,-,-,"15,880.1",-,"105,279.6",-,"102,738.7",-,2.5
Footwear,"10,000 Pairs",7.5,"3,710.9",58.2,"27,591.9",60.7,"28,967.1",-4.2,-4.7
Ceramic products,"10,000 Tons",160.0,"1,168.4","1,243.2","10,449.5","1,272.3","14,514.0",-2.3,-28.0
"Products, of steel or iron","10,000 Tons","1,015.5","7,334.0","7,514.9","53,047.2","7,749.3","54,168.7",-3.0,-2.1
Unwrought aluminium and aluminium products,"10,000 Tons",62.6,"2,536.5",466.5,"18,704.8",399.6,"13,812.3",16.7,35.4
Furniture and parts thereof,-,-,"5,240.1",-,"44,427.6",-,"42,466.4",-,4.6
Toys,-,-,"3,721.5",-,"22,791.7",-,"24,347.6",-,-6.4
Mechanical and electrical products *,-,-,"262,311.3",-,"1,871,559.8",-,"1,474,883.0",-,26.9
General machines,-,-,"6,253.5",-,"50,115.5",-,"45,545.2",-,10.0
Automatic data processing machines and parts thereof,-,-,"30,403.3",-,"196,667.0",-,"131,654.6",-,49.4
Mobile phones,"10,000 Sets","5,259.6","8,797.6","42,633.6","72,658.3","46,093.5","64,015.2",-7.5,13.5
Electric appliances of household type,"10,000 Sets","40,429.6","9,341.8","314,783.7","70,228.9","299,368.5","65,773.2",5.1,6.8
Audio or video devices and parts thereof,-,-,"3,957.4",-,"28,777.8",-,"25,498.5",-,12.9
Electronic integrated circuits,100 Million PCS,307.4,"40,731.4","2,425.4","256,751.2","2,328.9","125,934.9",4.1,103.9
Motor vehicles（including chassis fitted with engines),"10,000 Autos",104.7,"18,330.5",744.6,"129,108.1",492.5,"84,300.1",51.2,53.2
Parts and accessories of vehicle,-,-,"9,086.7",-,"69,787.2",-,"64,412.2",-,8.3
Ships,Ship,487.0,"6,615.7","4,529.0","45,386.8","4,485.0","33,576.0",1.0,35.2
Flat panel display modules of liquid crystals,"10,000 PCS","20,371.6","2,987.5","148,828.5","22,341.1","138,149.1","21,349.3",7.7,4.6
Medical or surgical instruments and apparatuses,-,-,"2,049.6",-,"15,216.8",-,"13,374.3",-,13.8
Lamps and lighting fittings and parts thereof,-,-,"3,361.7",-,"24,410.9",-,"25,614.7",-,-4.7
Hi-tech products*,-,-,"124,467.1",-,"847,831.9",-,"593,449.1",-,42.9
"Note: 1. ""Agricultural products*"", “Mechanical and electrical products*"" and ""Hi-tech products*"" include relevant products listed in the table."
"2. For the scope of  commodities listed in this table, please refer to the Catalog of Key Import Commodities for Customs Statistics in the 
              ""Statistics"" column on China Customs website (www.customs.gov.cn)."

